t_ms,entropy_ema,churn01,dCurv01,meanAbsCurv01,two1_eff_rate01,tmr01,feedback_tick,roi_amp01,roi_deqRate01,roi_curvCover01,roi_curvEntropy01,roi_two1RawRate01,two1_exp01,bmu_stability,queue_size,queue_cap
1770311353286,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.9225092250922509,0.0,0.0,0.0,0.0,1.0,0,20
1770311353542,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,20
1770311353798,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.9765625,0.0,0.0,0.0,0.0,1.0,0,20
1770311354053,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.49019607843137253,0.0,0.0,0.0,0.0,1.0,0,20
1770311354309,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311354565,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311354820,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.49019607843137253,0.0,0.0,0.0,0.0,1.0,0,20
1770311355077,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48638132295719844,0.0,0.0,0.0,0.0,1.0,0,20
1770311355331,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.4921259842519685,0.0,0.0,0.0,0.0,1.0,0,20
1770311355587,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311355843,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311356099,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311356354,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.49019607843137253,0.0,0.0,0.0,0.0,1.0,0,20
1770311356610,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,20
