t_ms,entropy_ema,churn01,dCurv01,meanAbsCurv01,two1_eff_rate01,tmr01,feedback_tick,roi_amp01,roi_deqRate01,roi_curvCover01,roi_curvEntropy01,roi_two1RawRate01,two1_exp01,bmu_stability,queue_size,queue_cap
1775941846169,0.05416853513736285,0.14950999161036976,0.0,0.0,0.0,0.6666666666666667,1,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,2,15
1775941846431,0.028107505551417826,0.0,0.0,0.0,0.0,1.0,0,1.0,0.9541984732824427,0.0,0.0,0.0,0.0,0.875,1,15
1775941846699,0.019599448484936794,0.0,0.0,0.0,0.0,1.0,0,1.0,0.9328358208955223,0.0,0.0,0.0,0.0,0.9230769230769231,0,15
1775941846954,0.014938005577360122,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.9459459459459459,1,15
1775941847210,0.012174520843344692,0.0,0.0,0.0,0.0,1.0,0,1.0,0.48828125,0.0,0.0,0.0,0.0,0.9583333333333334,1,15
1775941847494,0.010329155642583967,0.0,0.0,0.0,0.0,1.0,0,1.0,0.8802816901408451,0.0,0.0,0.0,0.0,0.9661016949152542,0,15
1775941847749,0.009001932938635694,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.9714285714285714,1,15
1775941848007,0.008078717171872762,0.0,0.0,0.0,0.0,1.0,0,0.7793716794443771,0.9689922480620154,0.0,0.0,0.0,0.0,0.975,0,15
1775941848263,0.043416742386791864,0.1523180197292576,0.0,0.0,0.0,0.7142857142857143,0,0.3362104329209757,0.0,0.0,0.0,0.0,0.0,0.9120879120879121,1,15
1775941848527,0.08654127903219427,0.4651351904242489,0.0,0.0,0.0,0.0,0,0.22219614448887434,0.9469696969696969,0.0,0.0,0.0,0.0,0.8217821782178218,0,15
1775941848783,0.12571480728651493,0.2720891125745405,0.0,0.0,0.0,0.5,0,0.17997974856572446,0.0,0.0,0.0,0.0,0.0,0.7589285714285714,1,15
1775941849055,0.18812797791053343,0.4440419890668759,0.0,0.0,0.0,0.0,0,0.12106144874508512,0.9191176470588235,0.0,0.0,0.0,0.0,0.6967213114754098,0,15
1775941849311,0.25331015270080115,0.40853032309364373,0.0,0.0,0.0,0.0,0,0.1053030879211289,0.0,0.0,0.0,0.0,0.0,0.6390977443609023,1,15
1775941849565,0.3131292180095835,0.3765997629747342,0.0,0.0,0.0,0.0,0,0.07771450732742687,0.0,0.0,0.0,0.0,0.0,0.5902777777777778,2,15
1775941849822,0.3701745716370436,0.4792033914040845,0.0,0.0,0.0,0.0,0,0.07086452968047069,0.0,0.0,0.0,0.0,0.0,0.5483870967741935,3,15
1775941850077,0.4193739740974122,0.3694711700393382,0.0,0.0,0.0,0.0,0,0.07785552204694769,0.0,0.0,0.0,0.0,0.0,0.5120481927710843,4,15
1775941850332,0.466157479726574,0.33232479652050795,0.0,0.0,0.0,0.0,0,0.06600568075485966,0.0,0.0,0.0,0.0,0.0,0.480225988700565,5,15
1775941850588,0.49835090916739266,0.3225528349193229,0.0,0.0,0.0,0.0,0,0.07441574412579881,0.0,0.0,0.0,0.0,0.0,0.4521276595744681,6,15
1775941850844,0.49746641417687587,0.3470419045756882,0.0,0.0,0.0,0.0,0,0.064968657187889,0.0,0.0,0.0,0.0,0.0,0.42713567839195976,7,15
1775941851099,0.5060202995989512,0.2492965610871836,0.0,0.0,0.0,0.0,0,0.06825458738713029,0.49019607843137253,0.0,0.0,0.0,0.0,0.40476190476190477,7,15
1775941851354,0.5105093178888785,0.4667456842002898,0.0,0.0,0.0,0.0,0,0.07667442394673434,0.0,0.0,0.0,0.0,0.0,0.3846153846153846,8,15
1775941851609,0.505426096663787,0.3215292561905326,0.0,0.0,0.0,0.0,0,0.0777686826735038,0.0,0.0,0.0,0.0,0.0,0.3663793103448276,9,15
1775941851865,0.5036413387887234,0.3465354157633987,0.0,0.0,0.0,0.0,0,0.0639016407803454,0.0,0.0,0.0,0.0,0.0,0.34979423868312753,10,15
1775941852120,0.5020578933471483,0.3344494846437204,0.0,0.0,0.0,0.0,0,0.07691123935220523,0.0,0.0,0.0,0.0,0.0,0.33464566929133854,11,15
1775941852375,0.5081303570786506,0.40513244943738896,0.0,0.0,0.0,0.0,0,0.06717378134470757,0.0,0.0,0.0,0.0,0.0,0.3207547169811321,12,15
1775941852631,0.4986064688054179,0.37636965705491787,0.0,0.0,0.0,0.0,0,0.07148992412769174,0.0,0.0,0.0,0.0,0.0,0.30797101449275366,13,15
1775941852886,0.49976215376201205,0.34313837132544056,0.0,0.0,0.0,0.0,0,0.06908728380916351,0.0,0.0,0.0,0.0,0.0,0.2961672473867596,14,15
1775941853141,0.49456084132852357,0.5201143517663396,0.0,0.0,0.0,0.0,1,0.06778719499022323,0.49019607843137253,0.0,0.0,0.0,0.0,0.28523489932885904,15,15
1775941853397,0.48408472960175636,0.300649244792529,0.0,0.0,0.0,0.1428571428571429,1,0.06262401767285138,0.0,0.0,0.0,0.0,0.0,0.2815533980582524,15,15
1775941853653,0.4780954870953456,0.4145235219361946,0.0,0.0,0.0,0.1428571428571429,1,0.07503624722229064,0.0,0.0,0.0,0.0,0.0,0.271875,15,15
1775941853919,0.47654691163707585,0.40858441766218034,0.0,0.0,0.0,0.0,0,0.07539346051072442,0.9398496240601504,0.0,0.0,0.0,0.0,0.26363636363636367,14,15
1775941854175,0.47853887790837857,0.4061476056313694,0.0,0.0,0.0,0.0,1,0.08580665567401055,0.0,0.0,0.0,0.0,0.0,0.25513196480938416,15,15
1775941854430,0.4693774458586361,0.4123171472465301,0.0,0.0,0.0,0.0,1,0.08966862485660623,0.0,0.0,0.0,0.0,0.0,0.24715909090909094,15,15
1775941854686,0.4804127529712842,0.3134855737080891,0.0,0.0,0.0,0.0,0,0.098265872002894,0.0,0.0,0.0,0.0,0.0,0.23966942148760328,15,15
1775941854941,0.4785388779083785,0.5055891079453635,0.0,0.0,0.0,0.0,1,0.08072750328734231,0.0,0.0,0.0,0.0,0.0,0.23262032085561501,15,15
1775941855197,0.4744583804481787,0.3149231627442162,0.0,0.0,0.0,0.0,0,0.11283261851821318,0.0,0.0,0.0,0.0,0.0,0.22597402597402594,15,15
1775941855451,0.47970045882772316,0.37837653678540284,0.0,0.0,0.0,0.0,1,0.07512122453161553,0.0,0.0,0.0,0.0,0.0,0.21969696969696972,15,15
1775941855707,0.4878265837648175,0.48763205382789654,0.0,0.0,0.0,0.0,1,0.07053547072080539,0.0,0.0,0.0,0.0,0.0,0.2137592137592138,15,15
