t_ms,entropy_ema,churn01,dCurv01,meanAbsCurv01,two1_eff_rate01,tmr01,feedback_tick,roi_amp01,roi_deqRate01,roi_curvCover01,roi_curvEntropy01,roi_two1RawRate01,two1_exp01,bmu_stability,queue_size,queue_cap
1770311454431,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.9652509652509652,0.0,0.0,0.0,0.0,1.0,0,20
1770311454688,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48638132295719844,0.0,0.0,0.0,0.0,1.0,0,20
1770311454943,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,20
1770311455198,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.9803921568627451,0.0,0.0,0.0,0.0,1.0,0,20
1770311455454,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311455711,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48638132295719844,0.0,0.0,0.0,0.0,1.0,0,20
1770311455965,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.4921259842519685,0.0,0.0,0.0,0.0,1.0,0,20
1770311456222,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48638132295719844,0.0,0.0,0.0,0.0,1.0,0,20
1770311456478,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311456734,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311456989,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.49019607843137253,0.0,0.0,0.0,0.0,1.0,0,20
1770311457245,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311457501,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311457757,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,20
1770311458012,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.9803921568627451,0.0,0.0,0.0,0.0,1.0,0,20
1770311458268,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311458524,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311458780,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311459035,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.49019607843137253,0.0,0.0,0.0,0.0,1.0,0,20
1770311459291,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311459546,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.49019607843137253,0.0,0.0,0.0,0.0,1.0,0,20
1770311459802,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311460058,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311460314,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311460569,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,20
1770311460826,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.9727626459143969,0.0,0.0,0.0,0.0,1.0,0,20
1770311461080,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.4921259842519685,0.0,0.0,0.0,0.0,1.0,0,20
1770311461337,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48638132295719844,0.0,0.0,0.0,0.0,1.0,0,20
1770311461593,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311461849,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48828125,0.0,0.0,0.0,0.0,1.0,0,20
1770311462104,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.49019607843137253,0.0,0.0,0.0,0.0,1.0,0,20
