t_ms,entropy_ema,churn01,dCurv01,meanAbsCurv01,two1_eff_rate01,tmr01,feedback_tick,roi_amp01,roi_deqRate01,roi_curvCover01,roi_curvEntropy01,roi_two1RawRate01,two1_exp01,bmu_stability,queue_size,queue_cap
1770327662148,0.1014097655573916,0.4671954675917475,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.5,2,20
1770327662403,0.04416991687767766,0.0,0.0,0.0,0.0,0.9090909090909091,0,1.0,0.9803921568627451,0.0,0.0,0.0,0.0,0.8666666666666667,1,20
1770327662658,0.029399172727405186,0.0,0.0,0.0,0.0,1.0,0,1.0,0.9803921568627451,0.0,0.0,0.0,0.0,0.9230769230769231,0,20
1770327662914,0.022407008366040183,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.9459459459459459,1,20
1770327663169,0.018261781265017037,0.0,0.0,0.0,0.0,1.0,0,1.0,0.49019607843137253,0.0,0.0,0.0,0.0,0.9583333333333334,1,20
1770327663425,0.015493733463875949,0.0,0.0,0.0,0.0,1.0,0,1.0,0.9765625,0.0,0.0,0.0,0.0,0.9661016949152542,0,20
1770327663680,0.013502899407953541,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.9714285714285714,1,20
1770327663936,0.011996300374483983,0.0,0.0,0.0,0.0,1.0,0,0.9609772028213422,0.48828125,0.0,0.0,0.0,0.0,0.9753086419753086,1,20
1770327664191,0.05112991279674705,0.017141982574219332,0.0,0.0,0.0,0.75,0,0.5495350261557201,0.0,0.0,0.0,0.0,0.0,0.9347826086956522,2,20
1770327664446,0.10305732691632923,0.061036774617366514,0.0,0.0,0.0,0.33333333333333337,0,0.35339554162490755,0.9803921568627451,0.0,0.0,0.0,0.0,0.8446601941747574,1,20
1770327664701,0.171868819278908,0.06404361216640027,0.0,0.0,0.0,0.25,0,0.28157003176806783,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,2,20
1770327664957,0.24961622588788915,0.19323819864969446,0.0,0.0,0.0,0.0,0,0.17065262315486168,0.9765625,0.0,0.0,0.0,0.0,0.728,1,20
1770327665213,0.3341243004516493,0.3136739102028346,0.0,0.0,0.0,0.0,0,0.09995215340244187,0.0,0.0,0.0,0.0,0.0,0.6691176470588236,2,20
1770327665468,0.4113915801940242,0.23997826721263749,0.0,0.0,0.0,0.19999999999999996,0,0.07297156434453436,0.9803921568627451,0.0,0.0,0.0,0.0,0.6326530612244898,1,20
1770327665724,0.49171597794706606,0.3176669637823462,0.0,0.0,0.0,0.0,0,0.06843565038623448,0.0,0.0,0.0,0.0,0.0,0.5886075949367089,2,20
1770327665979,0.5538243518412707,0.3620762406450123,0.0,0.0,0.0,0.0,0,0.06883749155203522,0.9803921568627451,0.0,0.0,0.0,0.0,0.5502958579881656,1,20
1770327666235,0.5987895577828923,0.24825348782532786,0.0,0.0,0.0,0.2857142857142857,0,0.067273254374129,0.0,0.0,0.0,0.0,0.0,0.5166666666666666,2,20
1770327666490,0.6367198601084716,0.30726380691514715,0.0,0.0,0.0,0.0,0,0.07710662942883471,0.0,0.0,0.0,0.0,0.0,0.4869109947643979,3,20
1770327666745,0.6448360713063864,0.25422086874422106,0.0,0.0,0.0,0.0,0,0.07120138333101292,0.0,0.0,0.0,0.0,0.0,0.4653465346534653,4,20
1770327667001,0.6526668994394994,0.25381765288166536,0.0,0.0,0.0,0.125,0,0.0796885999135721,0.0,0.0,0.0,0.0,0.0,0.44131455399061037,5,20
1770327667256,0.6213278830562751,0.25895677062679734,0.0,0.0,0.0,0.0,0,0.06806741026518567,0.0,0.0,0.0,0.0,0.0,0.4241071428571429,6,20
1770327667512,0.6168444658420681,0.17021425090498005,0.0,0.0,0.0,0.0,0,0.06154497515847,0.0,0.0,0.0,0.0,0.0,0.4042553191489362,7,20
1770327667767,0.611755579497999,0.14845822962097313,0.0,0.0,0.0,0.0,0,0.05871047481151534,0.0,0.0,0.0,0.0,0.0,0.3902439024390244,8,20
1770327668022,0.6029070973242722,0.2874065994450062,0.0,0.0,0.0,0.0,0,0.06201085167763683,0.49019607843137253,0.0,0.0,0.0,0.0,0.377431906614786,8,20
1770327668278,0.6008862027871003,0.2265993175081044,0.0,0.0,0.0,0.0,0,0.06241803071498293,0.0,0.0,0.0,0.0,0.0,0.3619402985074627,9,20
1770327668533,0.6148849463280214,0.2928672855806137,0.0,0.0,0.0,0.09999999999999998,0,0.0641636866092607,0.0,0.0,0.0,0.0,0.0,0.3476702508960573,10,20
1770327668789,0.5930588764916968,0.314074438526356,0.0,0.0,0.0,0.0,0,0.06514132553294055,0.0,0.0,0.0,0.0,0.0,0.33448275862068966,11,20
1770327669044,0.5770829776777888,0.28841069752828286,0.0,0.0,0.0,0.09090909090909094,0,0.06994666769226815,0.9803921568627451,0.0,0.0,0.0,0.0,0.3289036544850499,10,20
1770327669300,0.5602553181568478,0.17761587594415387,1.0,4.921174660829988,1.0,0.11111111111111116,0,0.0751772783247588,0.0,0.00390625,0.0,0.38631974880164144,0.0772639497603283,0.3205128205128205,11,20
