t_ms,bmu,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63
1779998215453,631,0.6077787115629384,0.8871627678211639,0.5831174128034203,0.8512163622790337,0.6685163261374318,0.7094999025337576,0.14068384607331189,0.8313458852015464,0.9344574882479372,0.5428522139011703,0.5656856720805822,0.5900611701891756,0.5820933486877808,0.4517034422654368,0.8063277291812059,0.7487943239965043,0.8734928187352535,0.2753397505601204,0.7719750238601555,0.9763324141996857,0.7073443250738247,0.47285012886748456,0.8676803574140477,0.4496516406377154,0.6546467397941633,0.19454893022145464,0.8793304334499565,0.9792298819220415,0.9438247975309125,0.4239312422586014,0.3532918937810266,0.9715963407444388,0.23805934780531451,0.49218416402069587,0.15693621098841362,0.5737736054822987,0.9793561733383119,0.46278451018827055,0.48214131195484056,0.8671343621961487,0.5623290131028047,0.9056884347669046,0.1468033949094402,0.7240294021468687,0.5408436660563398,0.35406364716969124,0.684548562929198,0.9823478274588237,0.6605593525045719,0.29042684701448324,0.3962071311481246,0.946942154149659,0.5100122444272509,0.8804320467984524,0.1962067354969918,0.8085931609409823,0.20121282965760726,0.7684049989571512,0.8568517275340264,0.48589797851519034,0.599775259462666,0.17003902983709687,0.9824865718021327,0.5531452078383139
1779998215476,631,0.6081709328513755,0.8872756050533427,0.583534295390617,0.8513651459167547,0.6688478098112944,0.7097904026312238,0.14154316222723856,0.8315145393163449,0.9345230307596892,0.5433093616872692,0.5661199864085016,0.5904711090189864,0.5825112553390931,0.4522517388231714,0.8065214014520247,0.7490455296725077,0.8736193259165183,0.2760644108095603,0.7722030488362953,0.976356081785486,0.7076369807487509,0.47337727873861707,0.8678126770566337,0.4502019889970777,0.6549920930543691,0.1953543812912332,0.8794511030165065,0.9792506520401195,0.9438809727333816,0.4245073110163428,0.3539386018872456,0.9716247444036944,0.2388212884575092,0.4926919798566752,0.1577792747774252,0.5741998318768164,0.9793768171649736,0.4633217256780823,0.4826591706428857,0.8672672278339526,0.5627666840897019,0.9057827463321377,0.14765659151453076,0.7243053727447218,0.5413028223902835,0.3547095835225216,0.6848640143662688,0.9823654796313648,0.6608987931520673,0.29113642016746877,0.3968109240169765,0.9469952119955093,0.5105022321828236,0.880551614751654,0.1970105287614948,0.8087845677800414,0.20201161682794966,0.7686365939581941,0.8569948758064924,0.4864120805366752,0.6001754842032033,0.17086899080725979,0.9825040852303306,0.5535920626304756
1779998215500,3445,0.8556718147761353,0.6611558268069117,0.15174990114160783,0.9078377290797365,0.6288348050951246,0.8210382594904267,0.39117134922674573,0.8782409265328899,0.6328187810374825,0.7314795782033158,0.39592877344109856,0.8985581182176867,0.02935410231037774,0.39257703073708894,0.49698115493194767,0.6322922515969275,0.45589085573039967,0.3476816153254872,0.6271049482816792,0.5138328596449088,0.9963804428234402,0.5887781073919299,0.9253649502430209,0.46442429708652394,0.49624620390776336,0.3166164250039206,0.5361346015852481,0.2648321905392642,0.3973500031006073,0.8738611290981805,0.9610778814006523,0.7152477129702512,0.6687761243701401,0.6215633940619091,0.8820034759476648,0.9208667351664991,0.3209875538321134,0.7187672521177125,0.9122197039007608,0.5134469749954329,0.4663613933144409,0.806037033564623,0.3729558013964405,0.4009811823981876,0.8892818042008139,0.33913745085393565,0.7925695443190228,0.6804284769218434,0.5938576456681611,0.9030107103468871,0.5216319407531333,0.6711803616261061,0.8648582026353654,0.1854516673281623,0.5174203973734345,0.6427478433161568,0.9731816911567648,0.3844195770668733,0.12115384136409509,0.7062663062968901,0.7505938548897053,0.7817724162437972,0.3687888421991772,0.502339046312661
1779998215523,3482,0.1930586705346342,0.1984804994860212,0.1355125972233205,0.16395311716635536,0.8312585400402688,0.20865977847925565,0.7163390074552302,0.1789293417833813,0.1850839005753829,0.3793230955486593,0.07190926656841416,0.5340196489638359,0.40976383354123264,0.15951885780371527,0.24058963754289883,0.38816315895509157,0.6084616692202541,0.7229604259286454,0.7186590439722709,0.5359823203141443,0.5965370557401894,0.7403441260666805,0.21272003251790703,0.5413767893575838,0.4537772280210939,0.6226133096767695,0.30430983640238346,0.499630499917713,0.23206063480621336,0.8976478052332889,0.8544128149919951,0.14360676064792913,0.08984341087551725,0.30229761340912664,0.9922228250384257,0.7002365529405478,0.5559507392064481,0.889271557501698,0.6221663444687892,0.9030949549174454,0.5893047121317856,0.9764551315053107,0.4838374446011024,0.8120736254174361,0.5845952358381418,0.0038924865343868157,0.9287316973195276,0.6630254086484022,0.5148272875579363,0.46723469378174476,0.7442440110343099,0.783678586138272,0.9412471166288914,0.9322065349624769,0.5469131358281846,0.7281011901521294,0.7205213716777689,0.7334816517215256,0.509539815537325,0.17004837174907939,0.8422630823013338,0.40553776829377164,0.4274181223924917,0.7715918219417424
1779998215546,631,0.6085627619185241,0.8873883294482894,0.5839507610952264,0.851513780770838,0.6691789620014832,0.7100806122285926,0.14240161906501134,0.8316830247770286,0.9345885077289295,0.543766052325582,0.566553866422093,0.5908806379099674,0.582928744083754,0.4527994870843482,0.8067148800505727,0.7492964841428352,0.8737457065906017,0.2767883463987507,0.772430845787459,0.9763797257037006,0.7079293437680022,0.47390390145987843,0.8679448643795771,0.4507517870080806,0.6553371009613147,0.19615902690994197,0.8795716519134901,0.9792714013880794,0.9439370917606482,0.4250828037053265,0.3545846632853583,0.9716531196592907,0.23958246716905168,0.4931992878768185,0.15862149550264779,0.5746256320449397,0.9793974403478086,0.4638584039524042,0.48317651147224283,0.8673999606061187,0.5632039174056122,0.9058769635858056,0.14850893492301623,0.7245810673719771,0.5417615195678932,0.35535487393899906,0.6851791503519025,0.9823831141517334,0.6612378943589152,0.2918452837473013,0.3974141130929595,0.9470482167835138,0.5109917299506408,0.8806710631369024,0.1978135182327333,0.8089757832122614,0.2028096052111217,0.7688679573642359,0.8571378809306859,0.4869256684561385,0.6005753087190001,0.17169812181645253,0.9825215811451002,0.554038470567845
1779998215569,631,0.6089541991566055,0.8875009411188411,0.5843668103341312,0.8516622669900671,0.6695097830394817,0.7103705316163641,0.14325921744594633,0.8318513417522516,0.9346539192212006,0.5442222862732564,0.5669873125556709,0.5912897572720573,0.5833458153396702,0.4533466875972638,0.8069081651705221,0.7495471876586924,0.8738719608840111,0.27751155805235195,0.7726584149416715,0.9764033459779968,0.7082214144242343,0.4744299975584185,0.8680769195151975,0.4513010352210725,0.6556817638603534,0.19696286788303202,0.8796920802615766,0.9792921299866914,0.9439931546688876,0.42565772090162113,0.35523007862207295,0.9716814665396314,0.24034288470188264,0.49370608858894166,0.15946287400714515,0.5750510064128947,0.9794180429074608,0.4643945455484518,0.4836933349607706,0.8675325606455125,0.5636407134882065,0.9059710866222198,0.1493604259880932,0.7248564863046052,0.5422197580483253,0.35599951906506005,0.6854939712015505,0.9824007310375816,0.6615766564645563,0.29255343846355397,0.3980166989798665,0.9471011685667303,0.5114807382206902,0.8807903920737654,0.19861570471450057,0.8091668074290491,0.20360679560591058,0.7690990894068717,0.8572807430497552,0.48743874278768234,0.6009747334102811,0.17252642369463608,0.9825390595639552,0.5544844320972772
1779998215592,631,0.6093452449574489,0.8876134401777223,0.584782443523797,0.851810604723077,0.6698402732564422,0.7106601610847477,0.14411595822850037,0.8320194904104994,0.9347192653019794,0.5446780639869832,0.5674203252431153,0.5916984675147853,0.5837624695243305,0.45389334090966654,0.8071012570053516,0.7497976404710337,0.873998088923127,0.2782340464942996,0.7728857565267299,0.9764269426320188,0.70851319300981,0.4749555675608601,0.8682088425956823,0.45184973418585145,0.656026082096493,0.19776590501514899,0.879812388181315,0.9793128378567046,0.9440491615142187,0.4262320631807195,0.35587484854345086,0.9717097850730918,0.24110254181718077,0.4942123825003527,0.160303411133138,0.5754759554064819,0.9794386248645534,0.4649301510029033,0.4842096416258098,0.867665028084867,0.5640770727747183,0.9060651155355975,0.15021106556210512,0.7251316298183006,0.542677538290277,0.356643519545995,0.685808477230349,0.982418330306544,0.6619150798080917,0.2932608850250904,0.39861868228088665,0.9471540673981635,0.5119692574824695,0.8809096016816916,0.19941708900978608,0.8093576406216201,0.20440318881030467,0.7693299903174647,0.8574234623067054,0.4879513040448947,0.6013737586768708,0.17335389727094144,0.9825565205043912,0.5549299476651799
1779998215615,631,0.6097358997124914,0.8877258267375445,0.5851976610802733,0.851958794118354,0.6701704329831858,0.7109495009236629,0.14497184227027188,0.8321874709200889,0.9347845460366774,0.5451333859229962,0.5678529049178721,0.5921067690472704,0.5841787070548062,0.45443944756875687,0.8072941557483463,0.7500478428305627,0.874124090834204,0.2789558124478053,0.7731128707702032,0.9764505156893868,0.7088046798168002,0.4754806119932992,0.8683406337530867,0.4523978844516656,0.6563700560143966,0.19856813911013382,0.8799325757931337,0.979333525018848,0.9441051123527044,0.4268058311175388,0.3565189736949074,0.9717380752880187,0.24186143927536358,0.49471817011785235,0.16114310772200488,0.5759004794510754,0.9794591862396888,0.4654652208519004,0.484725431984184,0.8677973630567821,0.5645129957019436,0.906159050420062,0.15106085449654302,0.7254064981884822,0.5431348607519867,0.357286876026449,0.6861226687531187,0.9824359119762375,0.6622531647282837,0.29396762414006533,0.3992200635986058,0.9472069133307653,0.512457288224987,0.8810286920800099,0.2002176719207763,0.8095482829809985,0.20519878562149438,0.7695606603271473,0.8575660388443987,0.4884633527408498,0.601772384918194,0.1741805433736705,0.9825739639838869,0.5553750177175147
1779998215639,631,0.610126163812779,0.887838100910807,0.585612463419193,0.8521068353242356,0.6705002625502026,0.7112385514227393,0.1458268704280016,0.8323552834491689,0.9348497614906407,0.5455882525370732,0.5682850520129542,0.5925146622782231,0.5845945283477514,0.45498500812118814,0.807486861592598,0.7502977949877321,0.8742499667433697,0.2796768566353575,0.773339757899433,0.9764740651736974,0.7090958751369834,0.4760051313813059,0.8684722931193336,0.45294548656721395,0.6567136859583822,0.1993695709710237,0.8800526432173406,0.9793541914938291,0.9441610072403518,0.42737902528642124,0.3571624547212125,0.9717663372127306,0.2426195778360882,0.4952234519477345,0.16198196461428288,0.5763245789716243,0.9794797270534491,0.4659997556310485,0.4852407065521998,0.8679295656937254,0.5649484827062417,0.9062528913696419,0.1519097936420465,0.7256810916902937,0.5435917258912347,0.35792958915042256,0.6864365460843656,0.9824534760642613,0.6625909115635554,0.29467365651592525,0.3998208435350072,0.9472597064174346,0.512944830936762,0.8811476633879298,0.20101745424885553,0.8097387346980175,0.20599358683587288,0.7697910996668201,0.8577084728055544,0.48897488938810896,0.6021706125332758,0.17500636283029683,0.9825913900199029,0.5558196426997972
1779998215738,631,0.6105160376489662,0.8879502628098962,0.5860268509557739,0.8522547284889114,0.6708297622876523,0.7115273128713165,0.1466810435575736,0.8325229281657197,0.9349149117291501,0.5460426642845362,0.5687167669609412,0.5929221476159449,0.5850099338194036,0.45553002311306695,0.8076793747310054,0.7505474971927444,0.8743757167766264,0.28039717977872214,0.7735664181415336,0.9764975911085237,0.7093867792618463,0.4765291262499246,0.8686038208262142,0.45349254108064674,0.6570569722724238,0.20017020140005268,0.8801725905741232,0.9793748373023352,0.9442168462331114,0.4279516462611348,0.35780529226649127,0.9717945708755179,0.24337695825825212,0.49572822849578674,0.1628199826496686,0.5767482543926526,0.9795002473263956,0.46653375587541746,0.4857554658456476,0.8680616361280317,0.5653835342235354,0.9063466384782722,0.15275788384840444,0.7259554105986035,0.5440481341653435,0.3585716595612721,0.6867501095382812,0.982471022588197,0.6629283206519919,0.29537898285940933,0.4004210226914722,0.9473124467110172,0.5134318861058252,0.8812665157245418,0.20181643679460667,0.8099289959633195,0.206787593249037,0.7700213085671533,0.8578507643327489,0.48948591449872086,0.6025684419207424,0.17583135646746653,0.982608798629883,0.5562638230570974
