t_ms,entropy_ema,churn01,dCurv01,meanAbsCurv01,two1_eff_rate01,tmr01,feedback_tick,roi_amp01,roi_deqRate01,roi_curvCover01,roi_curvEntropy01,roi_two1RawRate01,two1_exp01,bmu_stability,queue_size,queue_cap
1775941909638,0.05416853513736285,0.0984638883763227,0.0,0.0,0.0,0.33333333333333337,1,1.0,0.9689922480620154,0.0,0.0,0.0,0.0,0.6666666666666667,0,15
1775941909904,0.028107505551417826,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.875,1,15
1775941910156,0.0201910157568679,0.0,0.0,0.0,0.0,1.0,0,1.0,0.9920634920634921,0.0,0.0,0.0,0.0,0.92,0,15
1775941910411,0.015260172358447732,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,1,15
1775941910667,0.01237912420252902,0.0,0.0,0.0,0.0,1.0,0,1.0,0.48828125,0.0,0.0,0.0,0.0,0.9574468085106383,1,15
1775941910929,0.010618209316029898,0.0,0.0,0.0,0.0,1.0,0,1.0,0.9541984732824427,0.0,0.0,0.0,0.0,0.9649122807017544,0,15
1775941911185,0.009215070397490593,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.9705882352941176,1,15
1775941911441,0.008161715226514512,0.0,0.0,0.0,0.0,1.0,0,0.6876180166945306,0.48828125,0.0,0.0,0.0,0.0,0.9746835443037974,1,15
1775941911700,0.02217369517942788,0.09390561575875987,0.0,0.0,0.0,0.7777777777777778,0,0.3769801440904881,0.9652509652509652,0.0,0.0,0.0,0.0,0.9438202247191011,0,15
1775941911955,0.07996303044782527,0.3499809736486305,0.0,0.0,0.0,0.0,0,0.1860234775921995,0.0,0.0,0.0,0.0,0.0,0.84,1,15
1775941912210,0.13532244989290113,0.3051015259009693,0.0,0.0,0.0,0.0,0,0.12633617943013004,0.0,0.0,0.0,0.0,0.0,0.7567567567567568,2,15
1775941912466,0.19806938189190498,0.32764011705951906,0.0,0.0,0.0,0.0,0,0.08212209515786752,0.0,0.0,0.0,0.0,0.0,0.6885245901639344,3,15
1775941912721,0.2642966672232656,0.415642423967352,0.0,0.0,0.0,0.0,0,0.06814396286249914,0.0,0.0,0.0,0.0,0.0,0.631578947368421,4,15
1775941912977,0.3256599949954355,0.2590855681014718,0.0,0.0,0.0,0.0,0,0.06667237469887416,0.0,0.0,0.0,0.0,0.0,0.5833333333333333,5,15
1775941913232,0.3804967090649232,0.31254841782784704,0.0,0.0,0.0,0.0,0,0.06279153807869464,0.0,0.0,0.0,0.0,0.0,0.5419354838709678,6,15
1775941913487,0.4334015470447282,0.45350111224130174,0.0,0.0,0.0,0.0,0,0.06820385019125541,0.0,0.0,0.0,0.0,0.0,0.5060240963855422,7,15
1775941913742,0.4760502938608199,0.3689817967206032,0.0,0.0,0.0,0.0,0,0.08213838999531833,0.49019607843137253,0.0,0.0,0.0,0.0,0.47457627118644063,7,15
1775941913998,0.5071759845555454,0.39189068703387386,0.0,0.0,0.0,0.0,0,0.06943220059027287,0.0,0.0,0.0,0.0,0.0,0.44680851063829785,8,15
1775941914254,0.5171759845555454,0.38953135108006637,0.0,0.0,0.0,0.0,0,0.0882196127317069,0.0,0.0,0.0,0.0,0.0,0.42211055276381915,9,15
1775941914509,0.5144717241406815,0.4127778435319978,0.0,0.0,0.0,0.0,0,0.0757138579798606,0.0,0.0,0.0,0.0,0.0,0.4,10,15
1775941914765,0.5178050574740148,0.3758767901968474,0.0,0.0,0.0,0.0,0,0.07192875552093854,0.0,0.0,0.0,0.0,0.0,0.38009049773755654,11,15
1775941915020,0.5180256095627569,0.336834408861887,0.0,0.0,0.0,0.0,0,0.0645524197665866,0.0,0.0,0.0,0.0,0.0,0.3620689655172413,12,15
1775941915275,0.5190632033109539,0.40934844805683934,0.0,0.0,0.0,0.0,0,0.08704149359725756,0.0,0.0,0.0,0.0,0.0,0.345679012345679,13,15
1775941915530,0.5269880158145597,0.30818025960722906,0.0,0.0,0.0,0.0,0,0.08890301518886623,0.0,0.0,0.0,0.0,0.0,0.3307086614173228,14,15
1775941915786,0.5246922762294235,0.33061384177496284,0.0,0.0,0.0,0.0,1,0.08367617226620833,0.48828125,0.0,0.0,0.0,0.0,0.31698113207547174,15,15
1775941916042,0.5319880158145596,0.4311822122596829,0.0,0.0,0.0,0.0,0,0.07686320832297303,0.0,0.0,0.0,0.0,0.0,0.30434782608695654,15,15
1775941916297,0.5353213491478929,0.2884958082083713,0.0,0.0,0.0,0.0,1,0.06619070029496261,0.0,0.0,0.0,0.0,0.0,0.29268292682926833,15,15
1775941916552,0.535321349147893,0.3442363421185395,0.0,0.0,0.0,0.0,0,0.08098064436801372,0.0,0.0,0.0,0.0,0.0,0.2818791946308725,15,15
1775941916808,0.5307298699776206,0.32272746258585133,0.0,0.0,0.0,0.0,1,0.0715645285359258,0.0,0.0,0.0,0.0,0.0,0.27184466019417475,15,15
1775941917063,0.5240632033109541,0.3246040903275445,0.0,0.0,0.0,0.0,1,0.0701031151514514,0.0,0.0,0.0,0.0,0.0,0.26249999999999996,15,15
1775941917319,0.5240632033109541,0.34806503590703425,0.0,0.0,0.0,0.0,0,0.06619015702290426,0.0,0.0,0.0,0.0,0.0,0.2537764350453172,15,15
1775941917575,0.5263589428960903,0.4745116073117543,0.0,0.0,0.0,0.0,1,0.08118521347775652,0.0,0.0,0.0,0.0,0.0,0.24561403508771928,15,15
1775941917831,0.5211383908073485,0.35628879408521896,0.0,0.0,0.0,0.0,0,0.07995341308931359,0.48828125,0.0,0.0,0.0,0.0,0.23863636363636365,14,15
1775941918085,0.5194717241406817,0.4358486012390379,0.0,0.0,0.0,0.0,1,0.06630839997726759,0.0,0.0,0.0,0.0,0.0,0.23140495867768596,15,15
