t_ms,entropy_ema,churn01,dCurv01,meanAbsCurv01,two1_eff_rate01,tmr01,feedback_tick,roi_amp01,roi_deqRate01,roi_curvCover01,roi_curvEntropy01,roi_two1RawRate01,two1_exp01,bmu_stability,queue_size,queue_cap
1770320564114,0.4166666666666667,0.4411422098738549,0.0,0.0,0.0,0.5,1,0.061099778686523436,0.0,0.0,0.0,0.0,0.0,0.125,2,5
1770320564370,0.5302277214819099,0.32070355203427625,0.0,0.0,0.0,0.16666666666666663,0,0.06454499151111098,0.0,0.0,0.0,0.0,0.0,0.1578947368421053,3,5
1770320564624,0.5476529299175825,0.16157439034225568,0.0,0.0,0.0,0.0,0,0.06684739119628011,0.984251968503937,0.0,0.0,0.0,0.0,0.1333333333333333,2,5
1770320564880,0.5147319908523743,0.167501335880135,0.0,0.0,0.0,0.18181818181818177,0,0.06950764054771591,0.0,0.0,0.0,0.0,0.0,0.14634146341463417,3,5
1770320565138,0.5030093650255537,0.11085108968743816,0.0,0.0,0.0,0.18181818181818177,0,0.06597174736112851,0.9689922480620154,0.0,0.0,0.0,0.0,0.13461538461538458,2,5
1770320565391,0.49685625124668475,0.10594324743669693,0.0,0.0,0.0,0.09090909090909094,0,0.07321076390726272,0.0,0.0,0.0,0.0,0.0,0.17460317460317465,3,5
1770320565646,0.5008147094747577,0.11617012806185868,0.0,0.0,0.0,0.2222222222222222,0,0.06453301073172013,0.9803921568627451,0.0,0.0,0.0,0.0,0.17567567567567566,2,5
1770320565902,0.4964600373173965,0.13887225920205717,0.0,0.0,0.0,0.30000000000000004,0,0.06808231094256935,0.0,0.0,0.0,0.0,0.0,0.15294117647058825,3,5
1770320566157,0.5060708818048784,0.13296094908541004,0.0,0.0,0.0,0.09999999999999998,0,0.07049430926814546,0.9803921568627451,0.0,0.0,0.0,0.0,0.14583333333333337,2,5
1770320566412,0.49553225581276156,0.15191963072858594,0.0,0.0,0.0,0.2727272727272727,0,0.06402837257790903,0.0,0.0,0.0,0.0,0.0,0.14018691588785048,3,5
1770320566668,0.46680129352420424,0.1857465997639292,0.0,0.0,0.0,0.18181818181818177,0,0.07260438172755208,0.9765625,0.0,0.0,0.0,0.0,0.13559322033898302,2,5
1770320566923,0.4637708298360334,0.1679724616052066,0.0,0.0,0.0,0.4,0,0.07081954154306802,0.0,0.0,0.0,0.0,0.0,0.12403100775193798,3,5
1770320567179,0.47979002095416595,0.14969141156944557,0.0,0.0,0.0,0.09999999999999998,0,0.07099132783740655,0.9765625,0.0,0.0,0.0,0.0,0.11428571428571432,2,5
1770320567434,0.4995342963991109,0.12752119363195794,0.0,0.0,0.0,0.4,0,0.06912352206928074,0.0,0.0,0.0,0.0,0.0,0.10596026490066224,3,5
1770320567690,0.5128679048644001,0.13064737006108137,0.0,0.0,0.0,0.09999999999999998,0,0.0628593924791581,0.9765625,0.0,0.0,0.0,0.0,0.11111111111111116,2,5
1770320567946,0.5242244625599081,0.1848486424939462,0.0,0.0,0.0,0.09090909090909094,0,0.06146850864056032,0.0,0.0,0.0,0.0,0.0,0.11560693641618502,3,5
1770320568201,0.5346059864615791,0.11839834722099905,0.0,0.0,0.0,0.09090909090909094,0,0.06978418731402665,0.9803921568627451,0.0,0.0,0.0,0.0,0.13043478260869568,2,5
1770320568456,0.5521789819246039,0.20185978918006567,0.0,0.0,0.0,0.0,0,0.06874486146690803,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,3,5
1770320568711,0.5497986394826041,0.1765633948134546,0.0,0.0,0.0,0.09090909090909094,1,0.06272156829576722,0.9803921568627451,0.0,0.0,0.0,0.0,0.1310679611650486,3,5
1770320568967,0.5487955907965154,0.17926316863579006,0.0,0.0,0.0,0.18181818181818177,1,0.0612689039149678,0.0,0.0,0.0,0.0,0.0,0.12442396313364057,5,5
1770320569223,0.5469251194346042,0.18357873914430461,0.0,0.0,0.0,0.09999999999999998,1,0.0641858736396441,0.9765625,0.0,0.0,0.0,0.0,0.1228070175438597,3,5
1770320569478,0.5455685057634213,0.16574424244606623,0.0,0.0,0.0,0.18181818181818177,1,0.06340295323320994,0.0,0.0,0.0,0.0,0.0,0.12552301255230125,5,5
1770320569733,0.5381952460742645,0.19320849743230184,0.0,0.0,0.0,0.30000000000000004,0,0.06269982094528914,0.9803921568627451,0.0,0.0,0.0,0.0,0.12,3,5
1770320569988,0.5454252915231661,0.20709346768929793,0.0,0.0,0.0,0.09999999999999998,0,0.06619167355875634,0.0,0.0,0.0,0.0,0.0,0.12260536398467436,4,5
1770320570244,0.5584068098853471,0.17394413026136957,0.0,0.0,0.0,0.0,0,0.06467864494459875,0.9765625,0.0,0.0,0.0,0.0,0.12132352941176472,3,5
1770320570500,0.5656361769507373,0.21067695006326814,0.0,0.0,0.0,0.09999999999999998,0,0.06571348215657662,0.0,0.0,0.0,0.0,0.0,0.11660777385159016,4,5
1770320570755,0.5744343515713634,0.16375788638311245,0.0,0.0,0.0,0.18181818181818177,1,0.06799293667243858,0.9803921568627451,0.0,0.0,0.0,0.0,0.11564625850340138,3,5
