t_ms,entropy_ema,churn01,dCurv01,meanAbsCurv01,two1_eff_rate01,tmr01,feedback_tick,roi_amp01,roi_deqRate01,roi_curvCover01,roi_curvEntropy01,roi_two1RawRate01,two1_exp01,bmu_stability,queue_size,queue_cap
1775942861315,0.05416853513736285,0.05118893808443524,0.0,0.0,0.0,0.33333333333333337,1,1.0,0.9727626459143969,0.0,0.0,0.0,0.0,0.6666666666666667,0,15
1775942861580,0.028107505551417826,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.875,1,15
1775942861844,0.019599448484936794,0.0,0.0,0.0,0.0,1.0,0,1.0,0.9469696969696969,0.0,0.0,0.0,0.0,0.9230769230769231,0,15
1775942862100,0.014938005577360122,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.9459459459459459,1,15
1775942862355,0.012174520843344692,0.0,0.0,0.0,0.0,1.0,0,1.0,0.49019607843137253,0.0,0.0,0.0,0.0,0.9583333333333334,1,15
1775942862613,0.010471504181047284,0.0,0.0,0.0,0.0,1.0,0,1.0,0.9689922480620154,0.0,0.0,0.0,0.0,0.9655172413793104,0,15
1775942862869,0.00910714288969877,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.9710144927536232,1,15
1775942863125,0.008078717171872762,0.0,0.0,0.0,0.0,1.0,0,0.7905467204798259,0.48828125,0.0,0.0,0.0,0.0,0.975,1,15
1775942863390,0.007339354920056778,0.0,1.0,0.2586642979840055,1.0,1.0,0,0.4827383250311561,0.9433962264150942,2.44140625E-4,0.0,0.37605815570900514,0.07521163114180103,0.9777777777777777,0,15
1775942863645,0.020161727737767574,0.0786104966951458,1.0,0.2491298174895217,0.0,0.8,0,0.3109113969620723,0.0,2.44140625E-4,0.0,0.0,0.06016930491344083,0.9504950495049505,1,15
1775942863908,0.07337111968455255,0.44282256166346745,0.6010139229308017,0.24727744823045195,0.0,0.0,0,0.1571660618789469,0.9505703422053231,2.44140625E-4,0.0,0.0,0.04813544393075267,0.8648648648648649,0,15
1775942864163,0.1434368715885143,0.29662499880229853,0.0,0.24915287534977493,0.0,0.0,0,0.10644656028094737,0.0,2.44140625E-4,0.0,0.0,0.03850835514460214,0.7868852459016393,1,15
1775942864419,0.20536512147704122,0.41783195007804713,0.4086322415855864,0.24853990432958303,0.0,0.0,0,0.08850824170467196,0.0,2.44140625E-4,0.0,0.0,0.03080668411568171,0.7218045112781954,2,15
1775942864674,0.24997681936746785,0.3823878408451005,0.6101345600009802,0.2466933656791213,0.0,0.19999999999999996,0,0.07023252077096011,0.0,2.44140625E-4,0.0,0.0,0.02464534729254537,0.6736111111111112,3,15
1775942864944,0.29163562802844645,0.5178286853568155,1.0,0.24121920834374735,0.0,0.0,0,0.07089058498535951,0.9259259259259258,2.44140625E-4,0.0,0.0,0.0197162778340363,0.6298701298701299,2,15
1775942865199,0.3385844558525989,0.44885563007958384,0.3930976172833806,0.2406448008183854,0.0,0.0,0,0.0655437376809419,0.0,2.44140625E-4,0.0,0.0,0.01577302226722904,0.5878787878787879,3,15
1775942865464,0.38008818823519575,0.42295978386500416,0.7779800416674922,0.23768409915605668,0.0,0.25,0,0.06562523863213154,0.9433962264150942,2.44140625E-4,0.0,0.0,0.012618417813783232,0.5542857142857143,2,15
1775942865720,0.42564953269064754,0.4358095841586683,0.387965583522735,0.2371264723484319,0.0,0.0,0,0.06595425205161407,0.0,2.44140625E-4,0.0,0.0,0.010094734251026586,0.521505376344086,3,15
1775942865975,0.46563559169557517,0.3698185203644104,0.19568940537478816,0.23775744474201257,0.0,0.0,0,0.06261420538726199,0.0,2.44140625E-4,0.0,0.0,0.00807578740082127,0.4923857868020305,4,15
1775942866230,0.48132635954833386,0.3729403317329228,0.0,0.23958365045848623,0.0,0.0,0,0.073437902803987,0.0,2.44140625E-4,0.0,0.0,0.006460629920657016,0.46634615384615385,5,15
1775942866485,0.47862209913347004,0.4674234452757945,0.0,0.24141944048869562,0.0,0.0,0,0.07243478940982939,0.0,2.44140625E-4,0.0,0.0,0.005168503936525613,0.4474885844748858,6,15
1775942866741,0.47925117205193957,0.4424916970079012,0.2060245425877296,0.24205141718113388,0.0,0.0,0,0.08052618195832843,0.0,2.44140625E-4,0.0,0.0,0.00413480314922049,0.4260869565217391,7,15
1775942866996,0.48316878846623396,0.41721167505820306,0.20830651587404347,0.2426835104925726,0.0,0.0,0,0.06616504244677301,0.0,2.44140625E-4,0.0,0.0,0.0033078425193763927,0.4066390041493776,8,15
1775942867253,0.49012232334995365,0.3859042298739114,0.21060404646659328,0.24331571243187122,0.0,0.0,0,0.0666455053625033,0.0,2.44140625E-4,0.0,0.0,0.0026462740155011144,0.38888888888888884,9,15
